ano_emissao,mes_emissao,uf,municipio,tipo,status,abrangencia,especie_arma,marca_arma,calibre_arma,sexo,total
2025,1,GO,AN�POLIS                           ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,GO,APARECIDA DE GOI�NIA               ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,M,1
2025,1,GO,APARECIDA DE GOI�NIA               ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,4
2025,1,GO,BONFIN�POLIS                       ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,GO,CALDAS NOVAS                       ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,GO,CERES                              ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.38 TPC                                           ,M,1
2025,1,GO,CIDADE OCIDENTAL                   ,Seguran�a Dignit�rio   ,Ativo - V�lido,Nacional  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,9x19mm                                            ,M,1
2025,1,GO,COCALZINHO DE GOI�S                ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,GO,GOI�NIA                            ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,GO,GOI�NIA                            ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.38 TPC                                           ,M,1
2025,1,GO,GOI�NIA                            ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,2
2025,1,GO,GOI�NIA                            ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,M,1
2025,1,GO,GOI�NIA                            ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,F,1
2025,1,GO,GOI�NIA                            ,Defesa Pessoal         ,Ativo - V�lido,Regional  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.38 TPC                                           ,M,1
2025,1,GO,GOI�NIA                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,2
2025,1,GO,GOI�NIA                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,4
2025,1,GO,GOI�NIA                            ,Funcional              ,Ativo - V�lido,Nacional  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,GO,IACIARA                            ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,GO,INHUMAS                            ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,IMBEL                                                                 ,.380                                              ,M,1
2025,1,GO,JATA�                              ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.38 TPC                                           ,M,1
2025,1,GO,LUZI�NIA                           ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,GO,MONTIVIDIU                         ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.38 TPC                                           ,M,1
2025,1,GO,NER�POLIS                          ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,GO,RIO VERDE                          ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.38 TPC                                           ,M,3
2025,1,GO,RIO VERDE                          ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,5
2025,1,GO,RIO VERDE                          ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,GO,SANTA HELENA DE GOI�S              ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,GO,SANTA HELENA DE GOI�S              ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,5
2025,1,GO,SILV�NIA                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.38 TPC                                           ,M,1
2025,1,GO,S�O FRANCISCO DE GOI�S             ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.38 TPC                                           ,M,1
2025,1,GO,S�O LU�S DE MONTES BELOS           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,GO,TURV�NIA                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.38 TPC                                           ,M,1
2025,1,GO,VALPARA�SO DE GOI�S                ,Defesa Pessoal         ,Vencido       ,Regional  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,M,1
2025,1,GO,�GUAS LINDAS DE GOI�S              ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,GO,�GUAS LINDAS DE GOI�S              ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,GO,�GUAS LINDAS DE GOI�S              ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,GO,�GUAS LINDAS DE GOI�S              ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,GO,�GUAS LINDAS DE GOI�S              ,Defesa Pessoal         ,Cancelado     ,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,MA,IMPERATRIZ                         ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,MA,IMPERATRIZ                         ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
