ano_emissao;mes_emissao;UF;MUNICIPIO;TIPO;STATUS;ABRANGENCIA;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;TOTAL
2025;01;GO;VALPARA�SO DE GOI�S                ;Defesa Pessoal         ;Vencido       ;Regional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;M;1
2025;01;GO;�GUAS LINDAS DE GOI�S              ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;GO;�GUAS LINDAS DE GOI�S              ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;GO;�GUAS LINDAS DE GOI�S              ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;GO;�GUAS LINDAS DE GOI�S              ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;GO;�GUAS LINDAS DE GOI�S              ;Defesa Pessoal         ;Cancelado     ;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;MA;IMPERATRIZ                         ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;MA;IMPERATRIZ                         ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;MA;IMPERATRIZ                         ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;1
2025;01;MA;S�O LU�S                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;MG;BELO HORIZONTE                     ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;7
2025;01;MG;BELO HORIZONTE                     ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;19
2025;01;MG;BELO HORIZONTE                     ;Funcional              ;Ativo - V�lido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;MG;BOCAI�VA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;MG;BOTELHOS                           ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2025;01;MG;CALDAS                             ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;MG;CONTAGEM                           ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;MG;GOVERNADOR VALADARES               ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;MG;LAGOA SANTA                        ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;MG;PO�OS DE CALDAS                    ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;3
2025;01;MG;PO�OS DE CALDAS                    ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;11
2025;01;MG;RIBEIR�O DAS NEVES                 ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;MG;SABAR�                             ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2025;01;MG;SANTA LUZIA                        ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;MG;SETE LAGOAS                        ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;MG;S�O JOAQUIM DE BICAS               ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;MG;VESPASIANO                         ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2025;01;MS;CAMPO GRANDE                       ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;MS;CORUMB�                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2025;01;MS;CORUMB�                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;8
2025;01;MS;SETE QUEDAS                        ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;MT;CONFRESA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;ALFA-PROJ (SPOL S.R.O.)                                               ;.380 ACP                                          ;M;1
2025;01;MT;LUCAS DO RIO VERDE                 ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2025;01;MT;LUCAS DO RIO VERDE                 ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;8
2025;01;MT;NOVA MUTUM                         ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PA;ANANINDEUA                         ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;PA;BEL�M                              ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;PA;BEL�M                              ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;PA;CASTANHAL                          ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;PA;PACAJ�                             ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;F;1
2025;01;PA;REDEN��O                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;2
2025;01;PB;BAYEUX                             ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PB;JO�O PESSOA                        ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;3
2025;01;PB;JO�O PESSOA                        ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;6
2025;01;PB;SANTA RITA                         ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PE;ABREU E LIMA                       ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PE;CABO DE SANTO AGOSTINHO            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2025;01;PE;CABO DE SANTO AGOSTINHO            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PE;CARPINA                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2025;01;PE;ESCADA                             ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PE;IPOJUCA                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2025;01;PE;IPOJUCA                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;2
2025;01;PE;JABOAT�O DOS GUARARAPES            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;1
2025;01;PE;OLINDA                             ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;4
2025;01;PE;PAULISTA                           ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PE;PETROLINA                          ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;PE;RECIFE                             ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;PE;RECIFE                             ;Defesa Pessoal         ;Cancelado     ;Regional  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;PE;RECIFE                             ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;3
2025;01;PE;RECIFE                             ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;7
2025;01;PE;S�O LOUREN�O DA MATA               ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;2
2025;01;PI;ACAU�                              ;Funcional              ;Ativo - V�lido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PI;CAMPO MAIOR                        ;Funcional              ;Ativo - V�lido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PI;PARNA�BA                           ;Funcional              ;Ativo - V�lido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PI;PARNA�BA                           ;Funcional              ;Cancelado     ;Nacional  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PI;TERESINA                           ;Funcional              ;Ativo - V�lido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;7
2025;01;PR;CASCAVEL                           ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;PR;COLOMBO                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;PR;CURITIBA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;PR;CURITIBA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;2
2025;01;PR;CURITIBA                           ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;M;1
2025;01;PR;CURITIBA                           ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;1
2025;01;PR;CURITIBA                           ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;2
2025;01;PR;LONDRINA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;3
2025;01;PR;MATINHOS                           ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
